Микро_Зона_ID;Координата_Старт;Координата_Конец;Родительский_3D_Узел;Букв_в_куске;Масса_Куска_(kDa);GC_Состав_%
Zone_120;50019970;50020991;Node_0;1021;314.685;33.3
Zone_121;50020991;50022012;Node_0;1021;311.746;38.8
Zone_122;50022012;50023033;Node_0;1021;314.442;39.9
Zone_123;50023033;50024054;Node_0;1021;313.472;60.5
Zone_124;50024054;50025075;Node_0;1021;314.785;49.6
Zone_125;50025075;50026096;Node_0;1021;315.862;40.7
Zone_126;50026096;50027117;Node_0;1021;314.58;35.2
Zone_127;50027117;50028138;Node_0;1021;314.872;38.6
Zone_128;50028138;50029159;Node_0;1021;315.313;34.2
Zone_129;50029159;50030180;Node_0;1021;316.188;38.1
Zone_130;50030180;50031201;Node_0;1021;315.363;37.9
Zone_131;50031201;50032222;Node_0;1021;316.048;39.1
Zone_132;50032222;50033243;Node_0;1021;315.854;38.3
Zone_133;50033243;50034264;Node_0;1021;315.652;38.3
Zone_134;50034264;50035285;Node_0;1021;313.234;38.7
Zone_135;50035285;50036306;Node_0;1021;316.426;39.9
Zone_136;50036306;50037327;Node_0;1021;315.057;41.1
Zone_137;50037327;50038348;Node_0;1021;314.833;36.4
Zone_138;50038348;50039369;Node_0;1021;315.276;36.4
Zone_139;50039369;50040390;Node_0;1021;315.61;32.8
Zone_140;50040390;50041411;Node_0;1021;316.743;40.1
Zone_141;50041411;50042432;Node_0;1021;318.235;43.8
Zone_142;50042432;50043453;Node_0;1021;315.437;37.2
Zone_143;50043453;50044474;Node_0;1021;314.468;42.4
Zone_144;50044474;50045495;Node_0;1021;315.763;27.2
Zone_145;50045495;50046516;Node_0;1021;314.751;34.0
Zone_146;50046516;50047537;Node_0;1021;315.22;34.9
Zone_147;50047537;50048558;Node_0;1021;314.27;60.4
Zone_148;50048558;50049579;Node_0;1021;315.803;45.5
Zone_149;50049579;50050600;Node_0;1021;315.81;39.8
Zone_150;50050600;50051621;Node_0;1021;315.871;30.5
Zone_151;50051621;50052642;Node_0;1021;314.9;35.9
Zone_152;50052642;50053663;Node_0;1021;314.397;37.7
Zone_153;50053663;50054684;Node_0;1021;317.262;36.6
Zone_154;50054684;50055705;Node_0;1021;314.002;45.5
Zone_155;50055705;50056726;Node_0;1021;316.197;39.7
Zone_156;50056726;50057747;Node_0;1021;315.955;37.9
Zone_157;50057747;50058768;Node_0;1021;315.863;37.1
Zone_158;50058768;50059789;Node_0;1021;315.201;35.7
Zone_159;50059789;50060810;Node_0;1021;315.341;40.2
Zone_160;50060810;50061831;Node_0;1021;314.972;39.7
Zone_161;50061831;50062852;Node_0;1021;314.655;42.4
Zone_162;50062852;50063873;Node_0;1021;312.935;40.4
Zone_163;50063873;50064894;Node_0;1021;315.245;41.8
Zone_164;50064894;50065915;Node_0;1021;316.365;40.5
Zone_165;50065915;50066936;Node_0;1021;314.722;37.5
Zone_166;50066936;50067957;Node_0;1021;316.763;39.4
Zone_167;50067957;50068978;Node_0;1021;317.001;40.5
Zone_168;50068978;50069999;Node_0;1021;313.83;38.1
Zone_169;50069999;50071020;Node_0;1021;315.71;43.9
Zone_170;50071020;50072041;Node_0;1021;314.617;40.7
Zone_171;50072041;50073062;Node_0;1021;314.791;40.3
Zone_172;50073062;50074083;Node_0;1021;315.83;36.7
Zone_173;50074083;50075104;Node_0;1021;317.161;39.1
Zone_174;50075104;50076125;Node_0;1021;316.448;45.2
Zone_175;50076125;50077146;Node_0;1021;316.359;39.4
Zone_176;50077146;50078167;Node_0;1021;315.653;39.7
Zone_177;50078167;50079188;Node_0;1021;315.183;44.8
Zone_178;50079188;50080209;Node_0;1021;315.775;40.6
Zone_179;50080209;50081230;Node_0;1021;315.141;39.8
Zone_180;50081230;50082251;Node_0;1021;315.097;42.0
Zone_181;50082251;50083272;Node_0;1021;313.891;38.4
Zone_182;50083272;50084293;Node_0;1021;315.271;36.6
Zone_183;50084293;50085314;Node_0;1021;313.301;38.1
Zone_184;50085314;50086335;Node_0;1021;315.6;37.7
Zone_185;50086335;50087356;Node_0;1021;315.359;39.2
Zone_186;50087356;50088377;Node_0;1021;315.12;38.9
Zone_187;50088377;50089398;Node_0;1021;315.136;42.3
Zone_188;50089398;50090419;Node_0;1021;316.288;43.2
Zone_189;50090419;50091440;Node_0;1021;315.776;44.2
Zone_190;50091440;50092461;Node_0;1021;315.856;42.5
Zone_191;50092461;50093482;Node_0;1021;315.779;40.1
Zone_192;50093482;50094503;Node_0;1021;316.455;35.9
Zone_193;50094503;50095524;Node_0;1021;316.229;40.3
Zone_194;50095524;50096545;Node_0;1021;315.898;38.4
Zone_195;50096545;50097566;Node_0;1021;315.858;40.0
Zone_196;50097566;50098587;Node_0;1021;315.735;32.6
Zone_197;50098587;50099608;Node_0;1021;316.681;42.7
Zone_198;50099608;50100629;Node_0;1021;314.901;35.7
Zone_199;50100629;50101650;Node_0;1021;314.609;34.5
Zone_200;50101650;50102671;Node_0;1021;314.789;39.7
Zone_201;50102671;50103692;Node_0;1021;315.604;35.3
Zone_202;50103692;50104713;Node_0;1021;316.148;41.4
Zone_203;50104713;50105734;Node_0;1021;315.33;35.2
Zone_204;50105734;50106755;Node_0;1021;316.087;42.1
Zone_205;50106755;50107776;Node_0;1021;315.466;30.0
Zone_206;50107776;50108797;Node_0;1021;315.986;39.0
Zone_207;50108797;50109818;Node_0;1021;316.396;42.6
Zone_208;50109818;50110839;Node_0;1021;316.551;44.9
Zone_209;50110839;50111860;Node_0;1021;316.282;40.3
Zone_210;50111860;50112881;Node_0;1021;315.321;32.0
Zone_211;50112881;50113902;Node_0;1021;316.05;35.9
Zone_212;50113902;50114923;Node_0;1021;317.007;38.2
Zone_213;50114923;50115944;Node_0;1021;314.746;36.7
Zone_214;50115944;50116965;Node_0;1021;315.725;38.6
Zone_215;50116965;50117986;Node_0;1021;315.252;40.5
Zone_216;50117986;50119007;Node_0;1021;317.11;38.8
Zone_217;50119007;50120028;Node_0;1021;316.799;35.2
Zone_218;50120028;50121049;Node_0;1021;317.349;38.3
Zone_219;50121049;50122070;Node_0;1021;316.11;32.2
Zone_220;50122070;50123091;Node_0;1021;315.781;37.6
Zone_221;50123091;50124112;Node_0;1021;314.529;42.3
Zone_222;50124112;50125133;Node_0;1021;315.012;37.7
Zone_223;50125133;50126154;Node_0;1021;316.825;43.2
Zone_224;50126154;50127175;Node_0;1021;315.598;34.7
Zone_225;50127175;50128196;Node_0;1021;316.501;41.2
Zone_226;50128196;50129217;Node_0;1021;317.571;43.8
Zone_227;50129217;50130238;Node_0;1021;315.657;39.7
Zone_228;50130238;50131259;Node_0;1021;315.214;33.1
Zone_229;50131259;50132280;Node_0;1021;316.409;36.2
Zone_230;50132280;50133301;Node_0;1021;315.179;36.5
Zone_231;50133301;50134322;Node_0;1021;315.554;33.8
Zone_232;50134322;50135343;Node_0;1021;316.173;37.0
Zone_233;50135343;50136364;Node_0;1021;316.081;38.4
Zone_234;50136364;50137385;Node_0;1021;316.517;37.2
Zone_235;50137385;50138406;Node_0;1021;317.135;40.1
Zone_236;50138406;50139427;Node_0;1021;315.955;42.4
Zone_237;50139427;50140448;Node_0;1021;315.725;43.1
Zone_238;50140448;50141469;Node_0;1021;315.746;40.4
Zone_239;50141469;50142490;Node_0;1021;314.796;46.0
Zone_240;50142490;50143511;Node_0;1021;316.024;36.3
Zone_241;50143511;50144532;Node_0;1021;315.292;39.5
Zone_242;50144532;50145553;Node_0;1021;314.554;36.9
Zone_243;50145553;50146574;Node_0;1021;315.254;35.4
Zone_244;50146574;50147595;Node_0;1021;315.925;37.3
Zone_245;50147595;50148616;Node_0;1021;315.578;43.0
Zone_246;50148616;50149637;Node_0;1021;315.895;41.6
Zone_247;50149637;50150658;Node_0;1021;316.541;41.9
Zone_248;50150658;50151679;Node_0;1021;315.429;35.2
Zone_249;50151679;50152700;Node_0;1021;315.219;42.8
Zone_250;50152700;50153721;Node_0;1021;316.396;40.0
Zone_251;50153721;50154742;Node_0;1021;315.153;39.8
Zone_252;50154742;50155763;Node_0;1021;314.728;40.9
Zone_253;50155763;50156784;Node_0;1021;314.15;47.0
Zone_254;50156784;50157805;Node_0;1021;315.79;38.5
Zone_255;50157805;50158826;Node_0;1021;315.47;40.7
Zone_256;50158826;50159847;Node_0;1021;316.599;44.9
Zone_257;50159847;50160868;Node_0;1021;314.724;40.5
Zone_258;50160868;50161889;Node_0;1021;314.685;39.4
Zone_259;50161889;50162910;Node_0;1021;315.136;41.4
Zone_260;50162910;50163931;Node_0;1021;315.217;43.4
Zone_261;50163931;50164952;Node_0;1021;315.332;40.4
Zone_262;50164952;50165973;Node_0;1021;315.466;37.5
Zone_263;50165973;50166994;Node_0;1021;314.287;42.6
Zone_264;50166994;50168015;Node_0;1021;314.957;47.4
Zone_265;50168015;50169036;Node_0;1021;314.485;42.9
Zone_266;50169036;50170057;Node_0;1021;314.098;40.0
Zone_267;50170057;50171078;Node_0;1021;315.886;42.9
Zone_268;50171078;50172099;Node_0;1021;315.942;42.9
Zone_269;50172099;50173120;Node_0;1021;314.88;39.8
Zone_270;50173120;50174141;Node_0;1021;315.509;34.9
Zone_271;50174141;50175162;Node_0;1021;315.18;33.6
Zone_272;50175162;50176183;Node_0;1021;314.02;43.5
Zone_273;50176183;50177204;Node_0;1021;314.632;44.3
Zone_274;50177204;50178225;Node_0;1021;317.412;48.1
Zone_275;50178225;50179246;Node_0;1021;314.158;40.0
Zone_276;50179246;50180267;Node_0;1021;314.828;36.9
Zone_277;50180267;50181288;Node_0;1021;316.033;40.5
Zone_278;50181288;50182309;Node_0;1021;315.036;46.2
Zone_279;50182309;50183330;Node_0;1021;315.721;43.9
Zone_280;50183330;50184351;Node_0;1021;314.952;49.4
Zone_281;50184351;50185372;Node_0;1021;315.252;41.0
Zone_282;50185372;50186393;Node_0;1021;315.942;40.8
Zone_283;50186393;50187414;Node_0;1021;316.781;46.1
Zone_284;50187414;50188435;Node_0;1021;315.867;43.7
Zone_285;50188435;50189456;Node_0;1021;315.584;49.2
Zone_286;50189456;50190477;Node_0;1021;316.383;45.7
Zone_287;50190477;50191498;Node_0;1021;314.408;44.5
Zone_288;50191498;50192519;Node_0;1021;316.409;45.8
Zone_289;50192519;50193540;Node_0;1021;315.236;40.6
Zone_290;50193540;50194561;Node_0;1021;315.286;42.6
Zone_291;50194561;50195582;Node_0;1021;317.949;47.9
Zone_292;50195582;50196603;Node_0;1021;315.117;46.5
Zone_293;50196603;50197624;Node_0;1021;315.752;38.5
Zone_294;50197624;50198645;Node_0;1021;314.873;43.4
Zone_295;50198645;50199666;Node_0;1021;315.037;39.5
Zone_296;50199666;50200687;Node_0;1021;315.728;38.3
Zone_297;50200687;50201708;Node_0;1021;314.943;40.2
Zone_298;50201708;50202729;Node_0;1021;316.394;30.6
Zone_299;50202729;50203750;Node_0;1021;315.826;32.8
Zone_300;50203750;50204771;Node_0;1021;314.888;37.0
Zone_301;50204771;50205792;Node_0;1021;314.602;34.4
Zone_302;50205792;50206813;Node_0;1021;314.438;36.0
Zone_303;50206813;50207834;Node_0;1021;315.398;40.7
Zone_304;50207834;50208855;Node_0;1021;317.824;45.8
Zone_305;50208855;50209876;Node_0;1021;315.365;46.5
Zone_306;50209876;50210897;Node_0;1021;315.167;42.4
Zone_307;50210897;50211918;Node_0;1021;315.343;44.6
Zone_308;50211918;50212939;Node_0;1021;313.697;43.1
Zone_309;50212939;50213960;Node_0;1021;312.34;45.6
Zone_310;50213960;50214981;Node_0;1021;314.115;49.6
Zone_311;50214981;50216002;Node_0;1021;310.805;45.4
Zone_312;50216002;50217023;Node_0;1021;311.901;39.3
Zone_313;50217023;50218044;Node_0;1021;316.497;44.2
Zone_314;50218044;50219065;Node_0;1021;313.749;44.1
Zone_315;50219065;50220086;Node_0;1021;315.762;39.3
Zone_316;50220086;50221107;Node_0;1021;314.527;43.6
Zone_317;50221107;50222128;Node_0;1021;314.648;40.5
Zone_318;50222128;50223149;Node_0;1021;315.082;38.9
Zone_319;50223149;50224170;Node_0;1021;315.078;43.2
Zone_320;50224170;50225191;Node_0;1021;317.052;46.1
Zone_321;50225191;50226212;Node_0;1021;316.188;49.3
Zone_322;50226212;50227233;Node_0;1021;316.102;45.4
Zone_323;50227233;50228254;Node_0;1021;315.182;43.3
Zone_324;50228254;50229275;Node_0;1021;316.509;39.8
Zone_325;50229275;50230296;Node_0;1021;314.705;46.4
Zone_326;50230296;50231317;Node_0;1021;315.824;44.1
Zone_327;50231317;50232338;Node_0;1021;314.874;40.1
Zone_328;50232338;50233359;Node_0;1021;316.071;43.8
Zone_329;50233359;50234380;Node_0;1021;316.16;42.9
Zone_330;50234380;50235401;Node_0;1021;316.881;49.6
Zone_331;50235401;50236422;Node_0;1021;315.504;44.3
Zone_332;50236422;50237443;Node_0;1021;313.226;48.6
Zone_333;50237443;50238464;Node_0;1021;315.97;41.7
Zone_334;50238464;50239485;Node_0;1021;315.066;49.1
Zone_335;50239485;50240506;Node_0;1021;315.445;41.4
Zone_336;50240506;50241527;Node_0;1021;314.369;40.2
Zone_337;50241527;50242548;Node_0;1021;315.532;39.2
Zone_338;50242548;50243569;Node_0;1021;315.446;38.6
Zone_339;50243569;50244590;Node_0;1021;314.104;46.4
Zone_340;50244590;50245611;Node_0;1021;315.885;48.6
Zone_341;50245611;50246632;Node_0;1021;315.97;49.7
Zone_342;50246632;50247653;Node_0;1021;315.917;40.0
Zone_343;50247653;50248674;Node_0;1021;316.219;44.6
Zone_344;50248674;50249695;Node_0;1021;313.781;49.0
Zone_345;50249695;50250716;Node_0;1021;316.35;43.2
Zone_346;50250716;50251737;Node_0;1021;313.918;47.9
Zone_347;50251737;50252758;Node_0;1021;315.158;51.8
Zone_348;50252758;50253779;Node_0;1021;314.005;45.7
Zone_349;50253779;50254800;Node_0;1021;315.354;41.1
Zone_350;50254800;50255821;Node_0;1021;315.692;45.8
Zone_351;50255821;50256842;Node_0;1021;315.56;44.6
Zone_352;50256842;50257863;Node_0;1021;317.644;42.9
Zone_353;50257863;50258884;Node_0;1021;315.784;41.0
Zone_354;50258884;50259905;Node_0;1021;314.567;39.1
Zone_355;50259905;50260926;Node_0;1021;317.29;44.9
Zone_356;50260926;50261947;Node_0;1021;313.781;46.3
Zone_357;50261947;50262968;Node_0;1021;315.358;45.4
Zone_358;50262968;50263989;Node_0;1021;315.561;43.2
Zone_359;50263989;50265010;Node_0;1021;314.738;46.4
Zone_360;50265010;50266031;Node_0;1021;313.005;50.0
Zone_361;50266031;50267052;Node_0;1021;315.475;41.2
Zone_362;50267052;50268073;Node_0;1021;315.027;43.8
Zone_363;50268073;50269094;Node_0;1021;314.679;42.0
Zone_364;50269094;50270115;Node_0;1021;316.658;36.9
Zone_365;50270115;50271136;Node_0;1021;316.064;32.3
Zone_366;50271136;50272157;Node_0;1021;312.479;53.3
Zone_367;50272157;50273178;Node_0;1021;316.506;48.7
Zone_368;50273178;50274199;Node_0;1021;317.554;47.4
Zone_369;50274199;50275220;Node_0;1021;314.419;38.9
Zone_370;50275220;50276241;Node_0;1021;314.132;51.2
Zone_371;50276241;50277262;Node_0;1021;316.908;44.1
Zone_372;50277262;50278283;Node_0;1021;314.078;47.3
Zone_373;50278283;50279304;Node_0;1021;315.488;46.4
Zone_374;50279304;50280325;Node_0;1021;313.66;43.9
Zone_375;50280325;50281346;Node_0;1021;314.272;45.0
Zone_376;50281346;50282367;Node_0;1021;316.288;42.6
Zone_377;50282367;50283388;Node_0;1021;316.343;41.2
Zone_378;50283388;50284409;Node_0;1021;316.448;46.8
Zone_379;50284409;50285430;Node_0;1021;315.842;47.4
Zone_380;50285430;50286451;Node_0;1021;314.425;47.4
Zone_381;50286451;50287472;Node_0;1021;315.836;48.4
Zone_382;50287472;50288493;Node_0;1021;312.894;44.3
Zone_383;50288493;50289514;Node_0;1021;313.782;53.3
Zone_384;50289514;50290535;Node_1;1021;314.851;50.2
Zone_385;50290535;50291556;Node_1;1021;316.521;45.5
Zone_386;50291556;50292577;Node_1;1021;317.369;48.2
Zone_387;50292577;50293598;Node_1;1021;316.534;48.0
Zone_388;50293598;50294619;Node_1;1021;314.661;40.1
Zone_389;50294619;50295640;Node_1;1021;315.104;42.6
Zone_390;50295640;50296661;Node_1;1021;313.149;46.6
Zone_391;50296661;50297682;Node_1;1021;316.299;45.7
Zone_392;50297682;50298703;Node_1;1021;312.464;47.5
Zone_393;50298703;50299724;Node_1;1021;315.599;41.1
Zone_394;50299724;50300745;Node_1;1021;316.598;47.8
Zone_395;50300745;50301766;Node_1;1021;314.454;50.7
Zone_396;50301766;50302787;Node_1;1021;314.803;37.7
Zone_397;50302787;50303808;Node_1;1021;315.876;40.9
Zone_398;50303808;50304829;Node_1;1021;317.152;38.6
Zone_399;50304829;50305850;Node_1;1021;314.73;44.1
Zone_400;50305850;50306871;Node_1;1021;315.6;47.2
Zone_401;50306871;50307892;Node_1;1021;314.427;39.2
Zone_402;50307892;50308913;Node_1;1021;314.685;40.9
Zone_403;50308913;50309934;Node_1;1021;315.166;43.8
Zone_404;50309934;50310955;Node_1;1021;313.478;43.8
Zone_405;50310955;50311976;Node_1;1021;315.124;45.2
Zone_406;50311976;50312997;Node_1;1021;315.018;40.4
Zone_407;50312997;50314018;Node_1;1021;316.056;49.8
Zone_408;50314018;50315039;Node_1;1021;314.774;40.2
Zone_409;50315039;50316060;Node_1;1021;314.534;51.5
Zone_410;50316060;50317081;Node_1;1021;318.07;48.4
Zone_411;50317081;50318102;Node_1;1021;314.027;45.5
Zone_412;50318102;50319123;Node_1;1021;314.665;46.3
Zone_413;50319123;50320144;Node_1;1021;315.087;48.3
Zone_414;50320144;50321165;Node_1;1021;314.484;42.0
Zone_415;50321165;50322186;Node_1;1021;314.503;44.5
Zone_416;50322186;50323207;Node_1;1021;314.898;48.2
Zone_417;50323207;50324228;Node_1;1021;314.675;52.9
Zone_418;50324228;50325249;Node_1;1021;316.261;35.9
Zone_419;50325249;50326270;Node_1;1021;316.49;40.1
Zone_420;50326270;50327291;Node_1;1021;315.236;49.7
Zone_421;50327291;50328312;Node_1;1021;316.72;37.2
Zone_422;50328312;50329333;Node_1;1021;314.884;45.2
Zone_423;50329333;50330354;Node_1;1021;315.775;46.6
Zone_424;50330354;50331375;Node_1;1021;315.646;38.5
Zone_425;50331375;50332396;Node_1;1021;317.819;43.3
Zone_426;50332396;50333417;Node_1;1021;315.411;58.7
Zone_427;50333417;50334438;Node_1;1021;315.509;56.8
Zone_428;50334438;50335459;Node_1;1021;315.922;52.1
Zone_429;50335459;50336480;Node_1;1021;317.217;50.1
Zone_430;50336480;50337501;Node_1;1021;314.011;42.2
Zone_431;50337501;50338522;Node_1;1021;313.8;42.1
Zone_432;50338522;50339543;Node_1;1021;314.201;31.8
Zone_433;50339543;50340564;Node_1;1021;315.061;39.5
Zone_434;50340564;50341585;Node_1;1021;312.873;51.1
Zone_435;50341585;50342606;Node_1;1021;314.922;45.5
Zone_436;50342606;50343627;Node_1;1021;314.38;43.5
Zone_437;50343627;50344648;Node_1;1021;314.124;48.9
Zone_438;50344648;50345669;Node_1;1021;316.302;49.5
Zone_439;50345669;50346690;Node_1;1021;316.062;42.5
Zone_440;50346690;50347711;Node_1;1021;315.239;50.0
Zone_441;50347711;50348732;Node_1;1021;314.689;49.7
Zone_442;50348732;50349753;Node_1;1021;312.878;55.0
Zone_443;50349753;50350774;Node_1;1021;313.581;51.9
Zone_444;50350774;50351795;Node_1;1021;313.512;50.9
Zone_445;50351795;50352816;Node_1;1021;316.016;44.6
Zone_446;50352816;50353837;Node_1;1021;315.746;40.1
Zone_447;50353837;50354858;Node_1;1021;314.062;41.8
Zone_448;50354858;50355879;Node_1;1021;315.583;45.1
Zone_449;50355879;50356900;Node_1;1021;315.688;38.5
Zone_450;50356900;50357921;Node_1;1021;315.052;50.5
Zone_451;50357921;50358942;Node_1;1021;316.853;51.1
Zone_452;50358942;50359963;Node_1;1021;314.751;58.2
Zone_453;50359963;50360984;Node_1;1021;317.061;43.4
Zone_454;50360984;50362005;Node_1;1021;315.792;39.0
Zone_455;50362005;50363026;Node_1;1021;315.93;37.2
Zone_456;50363026;50364047;Node_1;1021;315.081;37.3
Zone_457;50364047;50365068;Node_1;1021;315.351;35.0
Zone_458;50365068;50366089;Node_1;1021;316.326;39.3
Zone_459;50366089;50367110;Node_1;1021;313.042;40.8
Zone_460;50367110;50368131;Node_1;1021;315.353;41.3
Zone_461;50368131;50369152;Node_1;1021;317.312;51.4
