Микро_Зона_ID;Координата_Старт;Координата_Конец;Родительский_3D_Узел;Букв_в_куске;Масса_Куска_(kDa);GC_Состав_%;Т_Плавления_(C);CpG_Островки_(шт);GC_Skew;AT_Skew;Индекс_Изгибаемости;Потенциал_Z_ДНК_%;Сродство_Нуклеосом_%;Жесткость_Точечная_(3-mer);Жесткость_Полувитка_(5-mer);Периодичность_Витка_(10-mer);Регуляторный_Профиль_(20-mer);Энергия_Деформации_(kT);Локальная_Гидрофобность;Микро_Заряд_Дебая
Zone_10;49907660;49908681;Node_0;1021;"=""315.717""";"=""39.7""";"=""2852.0""";"=""5.0""";"=""0.042""";"=""-0.0032""";"=""0.0471""";"=""2.74""";"=""37.03""";"=""0.0463""";"=""0.0447""";"=""37.03""";"=""39.46""";"=""0.305""";"=""321.161""";"=""10.5365"""
Zone_11;49908681;49909702;Node_0;1021;"=""316.876""";"=""35.3""";"=""2762.0""";"=""1.0""";"=""0.1667""";"=""0.1044""";"=""0.047""";"=""3.92""";"=""43.47""";"=""0.0462""";"=""0.0451""";"=""43.47""";"=""35.32""";"=""0.302""";"=""321.114""";"=""10.5752"""
Zone_12;49909702;49910723;Node_0;1021;"=""318.704""";"=""37.3""";"=""2804.0""";"=""6.0""";"=""0.3386""";"=""0.2594""";"=""0.046""";"=""1.96""";"=""39.41""";"=""0.0453""";"=""0.0446""";"=""39.41""";"=""37.11""";"=""0.306""";"=""320.701""";"=""10.6362"""
Zone_13;49910723;49911744;Node_0;1021;"=""317.006""";"=""44.3""";"=""2946.0""";"=""14.0""";"=""0.1372""";"=""0.1388""";"=""0.0479""";"=""2.74""";"=""32.57""";"=""0.047""";"=""0.0449""";"=""32.57""";"=""43.87""";"=""0.304""";"=""321.481""";"=""10.5795"""
Zone_14;49911744;49912765;Node_0;1021;"=""314.421""";"=""43.9""";"=""2938.0""";"=""6.0""";"=""-0.1205""";"=""0.0366""";"=""0.0489""";"=""5.09""";"=""32.08""";"=""0.0478""";"=""0.0448""";"=""32.08""";"=""43.88""";"=""0.305""";"=""321.819""";"=""10.4933"""
Zone_15;49912765;49913786;Node_0;1021;"=""314.915""";"=""43.6""";"=""2932.0""";"=""5.0""";"=""-0.0966""";"=""0.1424""";"=""0.0487""";"=""4.31""";"=""33.37""";"=""0.0478""";"=""0.045""";"=""33.37""";"=""43.55""";"=""0.302""";"=""321.808""";"=""10.5097"""
Zone_16;49913786;49914807;Node_0;1021;"=""313.254""";"=""40.9""";"=""2878.0""";"=""1.0""";"=""-0.2249""";"=""-0.0945""";"=""0.0476""";"=""4.31""";"=""35.74""";"=""0.0468""";"=""0.045""";"=""35.74""";"=""40.84""";"=""0.302""";"=""321.362""";"=""10.4543"""
Zone_17;49914807;49915828;Node_0;1021;"=""316.249""";"=""50.4""";"=""3072.0""";"=""18.0""";"=""0.033""";"=""0.2055""";"=""0.0501""";"=""2.74""";"=""26.53""";"=""0.0489""";"=""0.0451""";"=""26.53""";"=""50.49""";"=""0.301""";"=""322.312""";"=""10.5543"""
Zone_18;49915828;49916849;Node_0;1021;"=""316.348""";"=""43.2""";"=""2924.0""";"=""13.0""";"=""-0.0023""";"=""0.369""";"=""0.0476""";"=""4.7""";"=""33.07""";"=""0.0466""";"=""0.0447""";"=""33.07""";"=""43.01""";"=""0.306""";"=""321.282""";"=""10.5576"""
Zone_19;49916849;49917870;Node_0;1021;"=""315.04""";"=""39.5""";"=""2848.0""";"=""5.0""";"=""-0.1712""";"=""0.3722""";"=""0.0467""";"=""4.31""";"=""38.22""";"=""0.0458""";"=""0.045""";"=""38.22""";"=""39.42""";"=""0.302""";"=""320.924""";"=""10.5139"""
Zone_20;49917870;49918891;Node_0;1021;"=""315.634""";"=""37.7""";"=""2812.0""";"=""9.0""";"=""-0.1221""";"=""0.4182""";"=""0.0454""";"=""4.31""";"=""39.8""";"=""0.0446""";"=""0.0444""";"=""39.8""";"=""37.73""";"=""0.31""";"=""320.4""";"=""10.5337"""
Zone_21;49918891;49919912;Node_0;1021;"=""315.303""";"=""38.9""";"=""2836.0""";"=""5.0""";"=""-0.1234""";"=""0.3205""";"=""0.0466""";"=""3.13""";"=""37.52""";"=""0.0459""";"=""0.0447""";"=""37.52""";"=""38.8""";"=""0.305""";"=""320.96""";"=""10.5227"""
Zone_22;49919912;49920933;Node_0;1021;"=""315.644""";"=""38.7""";"=""2832.0""";"=""4.0""";"=""-0.0785""";"=""0.3131""";"=""0.0462""";"=""4.7""";"=""37.62""";"=""0.0453""";"=""0.0447""";"=""37.62""";"=""38.49""";"=""0.306""";"=""320.679""";"=""10.5341"""
Zone_23;49920933;49921954;Node_0;1021;"=""315.855""";"=""42.5""";"=""2910.0""";"=""16.0""";"=""-0.0323""";"=""0.2777""";"=""0.0474""";"=""4.31""";"=""33.86""";"=""0.0465""";"=""0.0445""";"=""33.86""";"=""42.57""";"=""0.308""";"=""321.254""";"=""10.5411"""
Zone_24;49921954;49922975;Node_0;1021;"=""315.069""";"=""35.0""";"=""2756.0""";"=""5.0""";"=""-0.1092""";"=""0.1627""";"=""0.0443""";"=""3.92""";"=""40.99""";"=""0.0438""";"=""0.0446""";"=""40.99""";"=""35.09""";"=""0.307""";"=""320.02""";"=""10.5149"""
Zone_25;49922975;49923996;Node_0;1021;"=""316.026""";"=""35.4""";"=""2764.0""";"=""7.0""";"=""-0.0582""";"=""0.3636""";"=""0.0445""";"=""3.53""";"=""41.39""";"=""0.0437""";"=""0.0443""";"=""41.39""";"=""35.54""";"=""0.311""";"=""319.987""";"=""10.5468"""
Zone_26;49923996;49925017;Node_0;1021;"=""316.54""";"=""38.2""";"=""2822.0""";"=""3.0""";"=""0.0974""";"=""0.141""";"=""0.0464""";"=""5.48""";"=""40.0""";"=""0.0458""";"=""0.0449""";"=""40.0""";"=""38.34""";"=""0.303""";"=""320.911""";"=""10.564"""
Zone_27;49925017;49926038;Node_0;1021;"=""316.659""";"=""52.4""";"=""3112.0""";"=""9.0""";"=""0.1028""";"=""0.0494""";"=""0.0513""";"=""3.53""";"=""22.48""";"=""0.0501""";"=""0.0451""";"=""22.48""";"=""52.35""";"=""0.302""";"=""322.84""";"=""10.5679"""
Zone_28;49926038;49927059;Node_0;1021;"=""316.617""";"=""40.6""";"=""2872.0""";"=""3.0""";"=""0.0554""";"=""0.2805""";"=""0.0475""";"=""3.53""";"=""35.64""";"=""0.0465""";"=""0.0449""";"=""35.64""";"=""40.36""";"=""0.303""";"=""321.234""";"=""10.5666"""
Zone_29;49927059;49928080;Node_0;1021;"=""315.949""";"=""37.1""";"=""2800.0""";"=""7.0""";"=""-0.0132""";"=""0.2336""";"=""0.0462""";"=""4.7""";"=""39.9""";"=""0.0453""";"=""0.0446""";"=""39.9""";"=""37.34""";"=""0.307""";"=""320.688""";"=""10.5443"""
Zone_30;49928080;49929101;Node_0;1021;"=""315.414""";"=""38.1""";"=""2820.0""";"=""11.0""";"=""-0.0591""";"=""0.1741""";"=""0.0454""";"=""1.57""";"=""40.4""";"=""0.0446""";"=""0.0442""";"=""40.4""";"=""38.29""";"=""0.311""";"=""320.4""";"=""10.5264"""
Zone_31;49929101;49930122;Node_0;1021;"=""316.397""";"=""29.8""";"=""2650.0""";"=""1.0""";"=""0.0329""";"=""0.2664""";"=""0.0427""";"=""4.31""";"=""50.0""";"=""0.0421""";"=""0.0441""";"=""50.0""";"=""29.68""";"=""0.313""";"=""319.244""";"=""10.5592"""
Zone_32;49930122;49931143;Node_0;1021;"=""315.346""";"=""29.2""";"=""2638.0""";"=""5.0""";"=""-0.1544""";"=""0.2863""";"=""0.0429""";"=""3.53""";"=""50.1""";"=""0.0424""";"=""0.0446""";"=""50.1""";"=""29.21""";"=""0.307""";"=""319.377""";"=""10.5241"""
Zone_33;49931143;49932164;Node_0;1021;"=""316.02""";"=""33.9""";"=""2734.0""";"=""4.0""";"=""0.0""";"=""0.2178""";"=""0.0445""";"=""3.92""";"=""44.55""";"=""0.0439""";"=""0.0448""";"=""44.55""";"=""34.06""";"=""0.305""";"=""320.078""";"=""10.5466"""
Zone_34;49932164;49933185;Node_0;1021;"=""315.968""";"=""32.6""";"=""2708.0""";"=""6.0""";"=""-0.0751""";"=""0.3605""";"=""0.0431""";"=""3.13""";"=""44.95""";"=""0.0423""";"=""0.0444""";"=""44.95""";"=""32.74""";"=""0.309""";"=""319.328""";"=""10.5449"""
Zone_35;49933185;49934206;Node_0;1021;"=""316.737""";"=""29.9""";"=""2652.0""";"=""1.0""";"=""0.0492""";"=""0.3408""";"=""0.0435""";"=""5.09""";"=""48.71""";"=""0.0428""";"=""0.0446""";"=""48.71""";"=""29.88""";"=""0.307""";"=""319.585""";"=""10.5705"""
Zone_36;49934206;49935227;Node_0;1021;"=""316.36""";"=""40.0""";"=""2858.0""";"=""19.0""";"=""0.0049""";"=""0.3377""";"=""0.0461""";"=""5.48""";"=""38.32""";"=""0.0451""";"=""0.0444""";"=""38.32""";"=""40.01""";"=""0.309""";"=""320.597""";"=""10.558"""
Zone_37;49935227;49936248;Node_0;1021;"=""316.153""";"=""50.5""";"=""3074.0""";"=""22.0""";"=""-0.0039""";"=""0.3307""";"=""0.0502""";"=""4.31""";"=""25.74""";"=""0.0489""";"=""0.0451""";"=""25.74""";"=""50.64""";"=""0.301""";"=""322.301""";"=""10.5511"""
Zone_38;49936248;49937269;Node_0;1021;"=""316.665""";"=""40.3""";"=""2864.0""";"=""12.0""";"=""0.017""";"=""0.4131""";"=""0.0465""";"=""3.13""";"=""35.74""";"=""0.0456""";"=""0.0447""";"=""35.74""";"=""40.44""";"=""0.306""";"=""320.851""";"=""10.5681"""
Zone_39;49937269;49938290;Node_0;1021;"=""315.244""";"=""37.9""";"=""2816.0""";"=""8.0""";"=""-0.1731""";"=""0.4227""";"=""0.046""";"=""5.09""";"=""38.91""";"=""0.045""";"=""0.0447""";"=""38.91""";"=""37.86""";"=""0.306""";"=""320.573""";"=""10.5207"""
Zone_40;49938290;49939311;Node_0;1021;"=""315.293""";"=""39.2""";"=""2842.0""";"=""13.0""";"=""-0.12""";"=""0.3108""";"=""0.0462""";"=""3.13""";"=""37.52""";"=""0.0455""";"=""0.0448""";"=""37.52""";"=""39.03""";"=""0.305""";"=""320.796""";"=""10.5223"""
Zone_41;49939311;49940332;Node_0;1021;"=""315.668""";"=""38.6""";"=""2830.0""";"=""7.0""";"=""-0.0761""";"=""0.3142""";"=""0.0462""";"=""2.35""";"=""38.32""";"=""0.0455""";"=""0.0446""";"=""38.32""";"=""38.56""";"=""0.306""";"=""320.781""";"=""10.5349"""
Zone_42;49940332;49941353;Node_0;1021;"=""316.02""";"=""35.7""";"=""2770.0""";"=""4.0""";"=""-0.011""";"=""0.2481""";"=""0.0454""";"=""6.27""";"=""42.38""";"=""0.0446""";"=""0.0447""";"=""42.38""";"=""35.49""";"=""0.306""";"=""320.405""";"=""10.5466"""
Zone_43;49941353;49942374;Node_0;1021;"=""315.304""";"=""28.4""";"=""2622.0""";"=""2.0""";"=""-0.1931""";"=""0.3324""";"=""0.0429""";"=""2.74""";"=""51.78""";"=""0.0424""";"=""0.0445""";"=""51.78""";"=""28.25""";"=""0.308""";"=""319.39""";"=""10.5227"""
Zone_44;49942374;49943395;Node_0;1021;"=""316.304""";"=""34.4""";"=""2744.0""";"=""5.0""";"=""-0.0028""";"=""0.3194""";"=""0.0451""";"=""3.53""";"=""43.07""";"=""0.0444""";"=""0.0447""";"=""43.07""";"=""34.05""";"=""0.306""";"=""320.283""";"=""10.5561"""
Zone_45;49943395;49944416;Node_0;1021;"=""314.796""";"=""50.4""";"=""3072.0""";"=""9.0""";"=""-0.1184""";"=""0.253""";"=""0.0496""";"=""5.48""";"=""22.97""";"=""0.0484""";"=""0.045""";"=""22.97""";"=""50.31""";"=""0.303""";"=""322.096""";"=""10.5058"""
Zone_46;49944416;49945437;Node_0;1021;"=""316.138""";"=""36.8""";"=""2794.0""";"=""2.0""";"=""-0.0426""";"=""0.3736""";"=""0.0449""";"=""1.96""";"=""40.2""";"=""0.0442""";"=""0.0445""";"=""40.2""";"=""36.91""";"=""0.308""";"=""320.19""";"=""10.5505"""
Zone_47;49945437;49946458;Node_0;1021;"=""315.371""";"=""32.3""";"=""2702.0""";"=""2.0""";"=""-0.1515""";"=""0.3285""";"=""0.0446""";"=""2.35""";"=""46.53""";"=""0.0439""";"=""0.0448""";"=""46.53""";"=""32.14""";"=""0.305""";"=""320.069""";"=""10.525"""
Zone_48;49946458;49947479;Node_0;1021;"=""315.714""";"=""33.8""";"=""2732.0""";"=""5.0""";"=""-0.1362""";"=""0.426""";"=""0.0441""";"=""3.53""";"=""44.26""";"=""0.0434""";"=""0.0444""";"=""44.26""";"=""33.73""";"=""0.309""";"=""319.861""";"=""10.5364"""
Zone_49;49947479;49948500;Node_0;1021;"=""315.492""";"=""19.9""";"=""2448.0""";"=""6.0""";"=""-0.1626""";"=""0.2347""";"=""0.044""";"=""0.78""";"=""67.62""";"=""0.0435""";"=""0.0484""";"=""67.62""";"=""19.91""";"=""0.267""";"=""319.896""";"=""10.529"""
Zone_50;49948500;49949521;Node_0;1021;"=""315.911""";"=""32.3""";"=""2702.0""";"=""2.0""";"=""-0.0848""";"=""0.3603""";"=""0.0444""";"=""3.13""";"=""47.33""";"=""0.0437""";"=""0.0451""";"=""47.33""";"=""32.77""";"=""0.302""";"=""319.998""";"=""10.543"""
Zone_51;49949521;49950542;Node_0;1021;"=""315.801""";"=""33.9""";"=""2734.0""";"=""5.0""";"=""-0.0289""";"=""0.2119""";"=""0.0469""";"=""10.58""";"=""45.35""";"=""0.0465""";"=""0.0461""";"=""45.35""";"=""33.54""";"=""0.291""";"=""321.247""";"=""10.5393"""
Zone_52;49950542;49951563;Node_0;1021;"=""316.533""";"=""34.4""";"=""2744.0""";"=""4.0""";"=""0.0541""";"=""0.2627""";"=""0.0444""";"=""3.53""";"=""43.17""";"=""0.0436""";"=""0.0445""";"=""43.17""";"=""34.59""";"=""0.308""";"=""319.954""";"=""10.5637"""
Zone_53;49951563;49952584;Node_0;1021;"=""315.863""";"=""32.9""";"=""2714.0""";"=""7.0""";"=""0.0298""";"=""0.1007""";"=""0.0443""";"=""3.92""";"=""45.15""";"=""0.044""";"=""0.0447""";"=""45.15""";"=""32.93""";"=""0.306""";"=""320.102""";"=""10.5414"""
Zone_54;49952584;49953605;Node_0;1021;"=""314.876""";"=""33.7""";"=""2730.0""";"=""3.0""";"=""-0.1163""";"=""0.1049""";"=""0.0443""";"=""1.18""";"=""43.96""";"=""0.0436""";"=""0.0447""";"=""43.96""";"=""33.65""";"=""0.305""";"=""319.914""";"=""10.5084"""
Zone_55;49953605;49954626;Node_0;1021;"=""314.313""";"=""39.8""";"=""2854.0""";"=""3.0""";"=""-0.1182""";"=""-0.0407""";"=""0.0466""";"=""2.74""";"=""38.32""";"=""0.0459""";"=""0.0445""";"=""38.32""";"=""39.93""";"=""0.308""";"=""320.973""";"=""10.4897"""
Zone_56;49954626;49955647;Node_0;1021;"=""314.453""";"=""34.0""";"=""2736.0""";"=""2.0""";"=""-0.1354""";"=""0.0119""";"=""0.0459""";"=""1.18""";"=""44.36""";"=""0.0455""";"=""0.045""";"=""44.36""";"=""33.83""";"=""0.303""";"=""320.767""";"=""10.4943"""
Zone_57;49955647;49956668;Node_0;1021;"=""315.105""";"=""31.4""";"=""2684.0""";"=""0.0""";"=""-0.0654""";"=""0.0571""";"=""0.0443""";"=""1.57""";"=""45.74""";"=""0.0438""";"=""0.0448""";"=""45.74""";"=""31.48""";"=""0.305""";"=""320.031""";"=""10.5161"""
Zone_58;49956668;49957689;Node_0;1021;"=""316.871""";"=""36.8""";"=""2794.0""";"=""3.0""";"=""0.2021""";"=""-0.0078""";"=""0.0466""";"=""3.13""";"=""40.89""";"=""0.0457""";"=""0.045""";"=""40.89""";"=""36.66""";"=""0.303""";"=""320.858""";"=""10.575"""
Zone_59;49957689;49958710;Node_0;1021;"=""315.31""";"=""40.5""";"=""2868.0""";"=""3.0""";"=""0.0557""";"=""-0.1974""";"=""0.0469""";"=""4.7""";"=""36.14""";"=""0.046""";"=""0.0448""";"=""36.14""";"=""40.36""";"=""0.305""";"=""321.033""";"=""10.5229"""
Zone_60;49958710;49959731;Node_0;1021;"=""317.427""";"=""37.1""";"=""2800.0""";"=""8.0""";"=""0.1662""";"=""0.2741""";"=""0.0451""";"=""3.92""";"=""39.6""";"=""0.0443""";"=""0.0443""";"=""39.6""";"=""36.96""";"=""0.31""";"=""320.25""";"=""10.5936"""
Zone_61;49959731;49960752;Node_0;1021;"=""316.435""";"=""33.7""";"=""2730.0""";"=""6.0""";"=""0.0814""";"=""0.1699""";"=""0.0444""";"=""3.53""";"=""43.47""";"=""0.044""";"=""0.0446""";"=""43.47""";"=""33.9""";"=""0.306""";"=""320.098""";"=""10.5605"""
Zone_62;49960752;49961773;Node_0;1021;"=""316.545""";"=""36.0""";"=""2778.0""";"=""2.0""";"=""0.1359""";"=""0.0597""";"=""0.0461""";"=""3.13""";"=""42.48""";"=""0.0454""";"=""0.0449""";"=""42.48""";"=""36.02""";"=""0.303""";"=""320.743""";"=""10.5641"""
Zone_63;49961773;49962794;Node_0;1021;"=""315.453""";"=""32.1""";"=""2698.0""";"=""4.0""";"=""-0.0122""";"=""0.0592""";"=""0.0442""";"=""3.53""";"=""46.04""";"=""0.0436""";"=""0.0448""";"=""46.04""";"=""31.92""";"=""0.305""";"=""319.932""";"=""10.5277"""
Zone_64;49962794;49963815;Node_0;1021;"=""315.356""";"=""36.9""";"=""2796.0""";"=""2.0""";"=""-0.0345""";"=""0.0839""";"=""0.0465""";"=""2.74""";"=""40.0""";"=""0.0456""";"=""0.045""";"=""40.0""";"=""37.11""";"=""0.302""";"=""320.851""";"=""10.5244"""
Zone_65;49963815;49964836;Node_0;1021;"=""315.42""";"=""29.7""";"=""2648.0""";"=""3.0""";"=""-0.0099""";"=""0.0446""";"=""0.0441""";"=""0.78""";"=""49.41""";"=""0.0435""";"=""0.0445""";"=""49.41""";"=""29.63""";"=""0.308""";"=""319.872""";"=""10.5266"""
Zone_66;49964836;49965857;Node_0;1021;"=""314.196""";"=""35.1""";"=""2758.0""";"=""3.0""";"=""-0.1899""";"=""0.0649""";"=""0.0459""";"=""3.13""";"=""42.67""";"=""0.0451""";"=""0.0449""";"=""42.67""";"=""35.07""";"=""0.303""";"=""320.624""";"=""10.4857"""
Zone_67;49965857;49966878;Node_0;1021;"=""314.848""";"=""36.9""";"=""2796.0""";"=""9.0""";"=""-0.0504""";"=""-0.0497""";"=""0.0459""";"=""4.31""";"=""41.78""";"=""0.0451""";"=""0.0441""";"=""41.78""";"=""37.1""";"=""0.312""";"=""320.613""";"=""10.5075"""
Zone_68;49966878;49967899;Node_0;1021;"=""315.743""";"=""37.3""";"=""2804.0""";"=""6.0""";"=""0.0341""";"=""0.0375""";"=""0.0463""";"=""5.09""";"=""39.11""";"=""0.0455""";"=""0.0448""";"=""39.11""";"=""37.31""";"=""0.304""";"=""320.809""";"=""10.5374"""
Zone_69;49967899;49968920;Node_0;1021;"=""315.239""";"=""39.2""";"=""2842.0""";"=""7.0""";"=""-0.04""";"=""0.0628""";"=""0.0459""";"=""1.57""";"=""37.62""";"=""0.0452""";"=""0.0442""";"=""37.62""";"=""39.36""";"=""0.312""";"=""320.657""";"=""10.5206"""
Zone_70;49968920;49969941;Node_0;1021;"=""314.283""";"=""35.7""";"=""2772.0""";"=""4.0""";"=""-0.1397""";"=""-0.0213""";"=""0.0468""";"=""7.44""";"=""42.08""";"=""0.046""";"=""0.0449""";"=""42.08""";"=""35.9""";"=""0.304""";"=""321.019""";"=""10.4886"""
Zone_71;49969941;49970962;Node_0;1021;"=""315.848""";"=""37.5""";"=""2808.0""";"=""11.0""";"=""-0.0653""";"=""0.3386""";"=""0.0454""";"=""7.05""";"=""41.09""";"=""0.0448""";"=""0.0444""";"=""41.09""";"=""37.53""";"=""0.309""";"=""320.458""";"=""10.5409"""
Zone_72;49970962;49971983;Node_0;1021;"=""315.878""";"=""34.4""";"=""2744.0""";"=""8.0""";"=""0.0712""";"=""0.006""";"=""0.0443""";"=""3.92""";"=""45.05""";"=""0.0436""";"=""0.0439""";"=""45.05""";"=""34.0""";"=""0.315""";"=""319.914""";"=""10.5419"""
Zone_73;49971983;49973004;Node_0;1021;"=""314.268""";"=""41.5""";"=""2890.0""";"=""12.0""";"=""-0.1132""";"=""-0.062""";"=""0.0479""";"=""5.09""";"=""35.05""";"=""0.0474""";"=""0.0449""";"=""35.05""";"=""41.16""";"=""0.304""";"=""321.623""";"=""10.4882"""
Zone_74;49973004;49974025;Node_0;1021;"=""315.497""";"=""32.3""";"=""2702.0""";"=""2.0""";"=""0.0121""";"=""0.0217""";"=""0.0462""";"=""3.53""";"=""47.52""";"=""0.0457""";"=""0.0453""";"=""47.52""";"=""32.37""";"=""0.299""";"=""320.862""";"=""10.5292"""
Zone_75;49974025;49975046;Node_0;1021;"=""316.24""";"=""30.8""";"=""2670.0""";"=""1.0""";"=""0.0892""";"=""0.1061""";"=""0.0438""";"=""2.35""";"=""48.32""";"=""0.0433""";"=""0.0446""";"=""48.32""";"=""30.75""";"=""0.307""";"=""319.779""";"=""10.554"""
Zone_76;49975046;49976067;Node_0;1021;"=""314.606""";"=""35.0""";"=""2756.0""";"=""6.0""";"=""-0.1261""";"=""0.0482""";"=""0.0456""";"=""3.53""";"=""42.57""";"=""0.0448""";"=""0.0448""";"=""42.57""";"=""34.64""";"=""0.304""";"=""320.495""";"=""10.4994"""
Zone_77;49976067;49977088;Node_0;1021;"=""313.853""";"=""32.3""";"=""2702.0""";"=""2.0""";"=""-0.2""";"=""-0.0564""";"=""0.0446""";"=""1.57""";"=""46.34""";"=""0.044""";"=""0.0448""";"=""46.34""";"=""32.22""";"=""0.304""";"=""320.1""";"=""10.4743"""
Zone_78;49977088;49978109;Node_0;1021;"=""311.902""";"=""37.5""";"=""2808.0""";"=""4.0""";"=""-0.3838""";"=""-0.185""";"=""0.0459""";"=""2.35""";"=""40.89""";"=""0.0452""";"=""0.0447""";"=""40.89""";"=""37.68""";"=""0.305""";"=""320.672""";"=""10.4092"""
Zone_79;49978109;49979130;Node_0;1021;"=""316.275""";"=""33.1""";"=""2718.0""";"=""0.0""";"=""0.0769""";"=""0.1303""";"=""0.0448""";"=""2.74""";"=""45.54""";"=""0.0441""";"=""0.0444""";"=""45.54""";"=""33.1""";"=""0.309""";"=""320.155""";"=""10.5551"""
Zone_80;49979130;49980151;Node_0;1021;"=""316.132""";"=""40.1""";"=""2860.0""";"=""26.0""";"=""0.0611""";"=""0.0882""";"=""0.0474""";"=""4.31""";"=""38.32""";"=""0.0465""";"=""0.0446""";"=""38.32""";"=""40.02""";"=""0.307""";"=""321.245""";"=""10.5504"""
Zone_81;49980151;49981172;Node_0;1021;"=""314.32""";"=""33.3""";"=""2722.0""";"=""4.0""";"=""-0.1235""";"=""-0.0631""";"=""0.0453""";"=""3.53""";"=""45.64""";"=""0.0447""";"=""0.0449""";"=""45.64""";"=""33.41""";"=""0.304""";"=""320.438""";"=""10.4899"""
Zone_82;49981172;49982193;Node_0;1021;"=""315.069""";"=""31.3""";"=""2682.0""";"=""7.0""";"=""-0.0437""";"=""0.0014""";"=""0.0447""";"=""3.92""";"=""48.02""";"=""0.0441""";"=""0.0451""";"=""48.02""";"=""31.45""";"=""0.302""";"=""320.168""";"=""10.5149"""
Zone_83;49982193;49983214;Node_0;1021;"=""315.566""";"=""56.7""";"=""3200.0""";"=""9.0""";"=""-0.0121""";"=""0.1176""";"=""0.0524""";"=""2.35""";"=""19.31""";"=""0.051""";"=""0.0452""";"=""19.31""";"=""56.83""";"=""0.301""";"=""323.278""";"=""10.5315"""
Zone_84;49983214;49984235;Node_0;1021;"=""314.468""";"=""46.5""";"=""2992.0""";"=""7.0""";"=""-0.1116""";"=""0.044""";"=""0.0494""";"=""3.13""";"=""30.1""";"=""0.0483""";"=""0.0447""";"=""30.1""";"=""46.46""";"=""0.306""";"=""322.04""";"=""10.4948"""
